n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0.000527687,0.000144793,0.00036,0.00039625,0.0005075,0.0006145,0.000857
2,0.000992062,0.000248641,0.000601,0.00076825,0.001019,0.00112675,0.001792
4,0.00279681,0.000475656,0.001825,0.00268825,0.0028315,0.00312475,0.003432
8,0.0136609,0.00257456,0.011408,0.0119812,0.0124345,0.0143625,0.018218
16,0.0883183,0.0123095,0.08093,0.0820638,0.0826825,0.0841973,0.130445
32,0.618605,0.0378228,0.578301,0.586749,0.609018,0.643303,0.703988
64,4.80749,0.158781,4.59338,4.6842,4.77257,4.91416,5.19798
128,37.1366,0.232244,36.8346,36.9133,37.0705,37.3141,37.6195
256,296.582,1.85314,294.923,295.371,295.965,296.475,301.627
512,2366.9,3.10575,2361.92,2364.56,2366.72,2368.56,2374.34
1024,19579.8,32.9834,19523.9,19561,19571.9,19582.4,19654.6
