n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0.000455438,0.000157109,0.000322,0.000356,0.0003905,0.0004845,0.000932
2,0.00744997,0.00204512,0.006181,0.00651475,0.006682,0.006845,0.013439
4,0.0492359,0.00206402,0.04798,0.0483538,0.04868,0.0488138,0.058259
8,0.364055,0.0508746,0.346387,0.349409,0.352538,0.35718,0.637356
16,2.39463,0.105024,2.25396,2.29856,2.37439,2.49719,2.67617
32,16.1793,0.217243,15.9011,16.0439,16.1577,16.2187,16.9822
64,113.312,0.77273,112.291,112.739,113.193,113.616,116.041
128,803.05,6.18972,793.922,799.662,801.359,806.281,824.619
256,5657.49,14.2869,5623.23,5649.17,5654.81,5666.74,5703.3
512,39767.3,87.3088,39609.8,39688.6,39769.1,39826.2,39914.6
1024,278995,927.696,277951,278318,278695,279255,281132
