n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0.000404812,6.889e-05,0.000322,0.000363,0.000382,0.00042675,0.000647
2,0.000867375,0.000258763,0.000576,0.00064475,0.000786,0.001002,0.001677
4,0.00210294,0.000431279,0.001796,0.0019015,0.002003,0.0020545,0.003746
8,0.0121312,0.000886567,0.01118,0.0114693,0.0117715,0.012851,0.015102
16,0.0873498,0.00934028,0.081118,0.0817365,0.0821835,0.0932577,0.112576
32,0.654745,0.0647406,0.577149,0.602272,0.644243,0.676694,0.852238
64,4.82151,0.168745,4.60067,4.67588,4.77226,4.93141,5.12978
128,37.2095,0.327405,36.6993,36.9602,37.2012,37.4311,37.9683
256,295.919,0.746513,294.553,295.423,295.882,296.381,297.853
512,2363.89,1.86406,2360.73,2362.45,2364.23,2365.02,2369.4
1024,19562.4,13.3648,19520,19553.5,19564.8,19571.2,19585.7
