n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0.000655094,0.000214904,0.000364,0.00055375,0.000602,0.00065525,0.001458
2,0.0182127,0.0506383,0.006822,0.00787025,0.008495,0.011467,0.295515
4,0.0612244,0.015389,0.048527,0.0498408,0.0509505,0.0803072,0.08864
8,0.348094,0.0286602,0.319347,0.327883,0.333901,0.364437,0.407852
16,2.3546,0.0718625,2.26332,2.3014,2.33516,2.38748,2.52917
32,16.2614,0.178143,15.9855,16.1127,16.2404,16.3949,16.7102
64,114.233,0.453926,113.308,113.957,114.152,114.506,115.495
128,818.127,5.09494,807.478,814.14,817.923,820.869,830.175
256,5723.88,13.5588,5692.89,5718.09,5724.91,5731.21,5751.46
512,40171.5,66.4864,40049.5,40121.2,40177.9,40218.3,40297.4
1024,280435,202.756,279858,280357,280465,280545,280827
