n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0.00045175,0.000196313,0.000336,0.00036,0.0003785,0.00042625,0.001152
2,0.000669219,0.000100184,0.000553,0.000626,0.000652,0.000679,0.001149
4,0.00218556,0.000640745,0.001842,0.00194,0.0020405,0.00218825,0.005562
8,0.0120583,0.000731408,0.011311,0.0115172,0.0116525,0.0126877,0.01362
16,0.0868621,0.00689557,0.080843,0.0829285,0.08371,0.0896425,0.11292
32,0.634288,0.0524159,0.575513,0.594717,0.627699,0.658515,0.846838
64,4.95966,0.228935,4.68214,4.8213,4.85736,5.03901,5.53929
128,38.3318,0.546249,37.6015,37.9837,38.2901,38.5881,39.7782
256,303.338,2.35179,301.351,301.947,302.833,303.256,312.991
512,2481.97,2.76969,2476,2480.15,2481.7,2483.38,2490.26
1024,21571.7,39.6483,21491.6,21548.2,21576.2,21597.3,21683.6
2048,194707,463.317,193930,194499,194700,194812,196518
