n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0.0101371,0.0552503,0.000319,0.0003475,0.000368,0.00037925,0.312913
2,0.00669047,0.000328028,0.006283,0.00644375,0.006617,0.0068965,0.007939
4,0.0496604,0.00125339,0.048438,0.0488695,0.04921,0.050086,0.053167
8,0.359776,0.00907351,0.336723,0.354966,0.35892,0.361765,0.387236
16,2.40067,0.0891706,2.29104,2.32751,2.37737,2.45975,2.57581
32,16.4662,0.166545,16.2283,16.3355,16.4529,16.5309,16.9508
64,116.035,0.973194,114.952,115.473,115.834,116.117,120.229
128,819.135,6.32628,811.896,816.076,817.637,819.536,844.375
256,5780.11,16.4917,5745.51,5767.02,5778.58,5789.73,5829.1
512,40384,61.5399,40279.6,40342.5,40378.1,40430.3,40531.8
1024,281151,262.141,280432,280983,281099,281329,281778
