n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0.000552781,0.000119867,0.000337,0.00045125,0.0005725,0.0006415,0.000784
2,0.00112231,0.000236146,0.00066,0.0010165,0.0011415,0.00123575,0.001617
4,0.00252384,0.000523495,0.001845,0.00210675,0.002381,0.00283975,0.003803
8,0.0125944,0.00169042,0.011238,0.0115305,0.0121655,0.0128782,0.019945
16,0.0867102,0.00695842,0.080647,0.0817217,0.082654,0.0921187,0.111536
32,0.662751,0.0716575,0.571008,0.629257,0.649934,0.679885,0.886095
64,4.79505,0.179496,4.56512,4.66214,4.72814,4.91552,5.2418
128,37.068,0.247052,36.6778,36.8613,37.0268,37.2196,37.6626
256,295.986,0.860574,294.69,295.329,295.751,296.526,298.135
512,2367.32,2.52804,2364.12,2365.59,2366.71,2368.77,2373.89
1024,19514.6,24.8328,19471.4,19499,19507.9,19528.8,19577.7
