n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0.000392875,9.63608e-05,0.000309,0.0003455,0.0003555,0.000387,0.000787
2,0.0155111,0.05013,0.006262,0.00645025,0.0066455,0.0068025,0.290224
4,0.0571347,0.00229563,0.0548,0.055716,0.056442,0.0576207,0.066463
8,0.35194,0.016893,0.323137,0.335905,0.358148,0.361469,0.38777
16,2.38757,0.180491,2.26207,2.29753,2.31221,2.35102,2.91159
32,16.181,0.172067,15.9267,16.0737,16.1239,16.2552,16.6051
64,113.61,0.374764,112.919,113.332,113.602,113.858,114.486
128,801.443,2.11107,798.727,800.073,800.901,802.057,807.334
256,5649.99,10.125,5620.02,5643.33,5650.58,5655.36,5671.45
512,39596.7,51.1239,39460.3,39567.5,39595.7,39633.5,39691.8
1024,278462,240.834,277919,278291,278506,278627,278929
