n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0.000605813,0.000212481,0.000358,0.000507,0.0005845,0.00069025,0.001568
2,0.000855844,0.00085287,0.000579,0.00061975,0.0006395,0.000693,0.005377
4,0.00204063,0.000334232,0.001851,0.00189525,0.001963,0.00206125,0.003785
8,0.0117331,0.000539204,0.011245,0.011395,0.011525,0.0117055,0.013303
16,0.127936,0.00597466,0.12227,0.123874,0.124636,0.13326,0.145692
32,0.986214,0.0496377,0.913816,0.944265,0.982323,1.01582,1.1355
64,7.19595,0.196654,6.94572,7.06295,7.14208,7.32422,7.68161
128,51.0002,0.48317,50.2972,50.6576,50.9411,51.3105,52.3327
256,364.424,1.32255,362.494,363.489,364.069,365.01,368.454
512,2569.75,2.11205,2564.83,2568.58,2569.73,2570.87,2574.41
1024,18019,13.2605,17984.4,18012.1,18023,18028,18037.2
